21.9s 1 start load data
27.4s 2 start process data
28.9s 3 Number of users = 100 , Number of venues = 392 , Number of venuecategorys = 40
37.4s 4 iter :0| loss :21.7135
93.6s 5 iter :10| loss :7.1270
149.8s 6 iter :20| loss :4.7633
205.8s 7 iter :30| loss :3.1933
262.0s 8 iter :40| loss :2.1710
318.3s 9 iter :50| loss :1.5656
374.7s 10 iter :60| loss :1.2249
430.9s 11 iter :70| loss :1.0224
487.0s 12 iter :80| loss :0.8889
543.5s 13 iter :90| loss :0.7939
594.3s 14 Recall :0.6000 |AP@5 :0.5000 |AP@10 :0.5750 |nDCG@5 :1.0000 |nDCG@10 :0.7184
594.3s 15 Recall :0.6000 |AP@5 :0.3217 |AP@10 :0.4681 |nDCG@5 :0.7860 |nDCG@10 :0.6529
594.3s 16 Recall :0.8000 |AP@5 :0.5000 |AP@10 :0.8000 |nDCG@5 :1.0000 |nDCG@10 :0.8701
594.3s 17 Recall :0.9000 |AP@5 :0.5000 |AP@10 :0.9000 |nDCG@5 :1.0000 |nDCG@10 :0.9364
594.3s 18 Recall :0.8000 |AP@5 :0.2717 |AP@10 :0.6082 |nDCG@5 :0.6608 |nDCG@10 :0.7137
594.3s 19 Recall :1.0000 |AP@5 :0.5000 |AP@10 :1.0000 |nDCG@5 :1.0000 |nDCG@10 :1.0000
594.3s 20 Recall :0.9000 |AP@5 :0.5000 |AP@10 :0.8900 |nDCG@5 :1.0000 |nDCG@10 :0.9337
594.3s 21 Recall :0.7000 |AP@5 :0.5000 |AP@10 :0.6732 |nDCG@5 :1.0000 |nDCG@10 :0.7917
594.3s 22 Recall :1.0000 |AP@5 :0.5000 |AP@10 :1.0000 |nDCG@5 :1.0000 |nDCG@10 :1.0000
594.3s 23 Recall :0.9000 |AP@5 :0.5000 |AP@10 :0.8664 |nDCG@5 :1.0000 |nDCG@10 :0.9266
594.3s 24 Recall :0.9000 |AP@5 :0.5000 |AP@10 :0.8900 |nDCG@5 :1.0000 |nDCG@10 :0.9337
594.3s 25 Recall :0.9000 |AP@5 :0.5000 |AP@10 :0.8900 |nDCG@5 :1.0000 |nDCG@10 :0.9337
594.3s 26 Recall :0.9000 |AP@5 :0.5000 |AP@10 :0.8900 |nDCG@5 :1.0000 |nDCG@10 :0.9337
594.3s 27 Recall :0.9000 |AP@5 :0.5000 |AP@10 :0.9000 |nDCG@5 :1.0000 |nDCG@10 :0.9364
594.3s 28 Recall :1.0000 |AP@5 :0.5000 |AP@10 :1.0000 |nDCG@5 :1.0000 |nDCG@10 :1.0000
594.3s 29 Recall :0.9000 |AP@5 :0.5000 |AP@10 :0.8789 |nDCG@5 :1.0000 |nDCG@10 :0.9306
594.3s 30 Recall :0.9000 |AP@5 :0.5000 |AP@10 :0.8900 |nDCG@5 :1.0000 |nDCG@10 :0.9337
594.3s 31 MAP5 :0.4761 |MAP10 :0.8306
